Geo_Code,Region,Province,Province - Postal,Latitude,Longitude,English and French, English only,French only,Neither English nor French,Average number of children at home per census family,Average number of persons in private households,Average number of persons per census family,Census-family households,Number of census family persons,Population in 2011,Total Private dwellings occupied by usual residents,Total children in census families in private households,Total couple families by family structure and number of children,Total number of census families in private households: note 7,Total number of census families in private households: note 8,Total number of persons aged 65 years and over in private households,Total number of persons in private households,Total private dwellings
A0A,Southeastern Avalon Peninsula (Ferryland),Newfoundland and Labrador,NL,47.2195,-53.1448,1100,44990,5,15,0.9,2.5,2.7,14225,40130,46297,18701,13350,12155,14620,14625,7565,45885,23950
A0B,Western Avalon Peninsula (Argentia),Newfoundland and Labrador,NL,47.327,-53.6609,400,20480,0,15,0.8,2.3,2.7,6650,18030,20985,8854,5240,5990,6800,6805,4275,20730,12585
A0C,Bonavista Peninsula (Bonavista),Newfoundland and Labrador,NL,48.3843,-53.9081,180,12560,0,10,0.7,2.3,2.6,4120,10905,12834,5482,3090,3600,4220,4220,2530,12665,8272
A0E,Burin Peninsula (Marystown),Newfoundland and Labrador,NL,47.5607,-54.7801,535,22735,10,5,0.8,2.4,2.7,7485,20500,23384,9659,6250,6610,7640,7640,3910,23180,12733
A0G,Northeast Newfoundland (Lewisporte),Newfoundland and Labrador,NL,48.8657,-54.7296,445,35480,5,10,0.7,2.4,2.6,12040,31965,36264,14967,8600,11050,12315,12315,7080,35720,21153
A0H,Central Newfoundland (Bishops Falls),Newfoundland and Labrador,NL,48.4311,-56.1758,215,18165,10,10,0.8,2.4,2.7,5995,16285,18499,7561,4745,5395,6140,6145,3395,18295,10355
A0J,Northern Newfoundland (Springdale),Newfoundland and Labrador,NL,49.4875,-56.0808,80,7845,5,10,0.7,2.3,2.6,2680,7030,8093,3395,1840,2470,2725,2720,1550,7920,4679
A0K,Northwest Newfoundland/Eastern Labrador (Mary's Harbour),Newfoundland and Labrador,NL,52.0563,-57.2175,360,27190,0,5,0.8,2.4,2.6,8925,24390,27835,11235,7050,8125,9210,9215,4955,27510,14300
A0L,Western Newfoundland (Lark Harbour),Newfoundland and Labrador,NL,48.9445,-58.0645,125,7270,0,5,0.8,2.5,2.7,2395,6590,7412,2996,1965,2145,2475,2475,1140,7400,3420
A0M,Southwestern Newfoundland (Channel-Port aux Basques),Newfoundland and Labrador,NL,47.8037,-58.3869,65,6185,0,5,0.7,2.3,2.6,2080,5485,6318,2698,1495,1875,2115,2120,1205,6250,3260
A0N,Port au Port Peninsula region (St. George's),Newfoundland and Labrador,NL,48.0868,-57.8231,825,13720,10,5,0.8,2.3,2.6,4635,12355,14679,6317,3710,3895,4755,4755,2720,14515,8319
A0P,Central Labrador (Happy Valley-Goose Bay),Newfoundland and Labrador,NL,54.9549,-61.6024,495,12260,10,160,1.2,2.9,3,3555,11435,13021,4405,4560,3055,3820,3820,915,12915,5133
A0R,North/Western Labrador (Churchill Falls),Newfoundland and Labrador,NL,53.54,-65.112,230,2260,0,5,0.9,2.6,2.9,775,2265,2495,950,740,735,795,790,115,2490,1146
A1A,St. John's North,Newfoundland and Labrador,NL,47.5941,-52.7371,2600,26225,15,85,1,2.4,2.8,8225,23690,29505,11918,8335,6975,8380,8385,4075,28695,12670
A1B,St. John's Northwest Newfoundland & Labrador Provincial Government,Newfoundland and Labrador,NL,47.5698,-52.7796,1740,15655,10,70,0.9,2.3,2.7,4285,11815,17781,7642,4095,3365,4355,4355,2345,17240,8775
A1C,St. John's North Central,Newfoundland and Labrador,NL,47.5124,-52.6729,1480,11565,5,45,0.8,2,2.6,3100,8125,13213,6368,2635,2320,3165,3165,1675,12855,7201
A1E,St. John's Central,Newfoundland and Labrador,NL,47.5334,-52.7595,2075,25860,5,65,0.9,2.2,2.7,7760,21440,28411,12571,7435,6055,7940,7940,4445,27885,13434
A1G,St. John's South,Newfoundland and Labrador,NL,47.506,-52.7603,250,5170,0,5,1,2.4,2.7,1610,4530,5430,2284,1570,1315,1650,1650,630,5420,2392
A1H,St. John's Southwest,Newfoundland and Labrador,NL,47.483,-52.8415,295,3170,5,0,1.2,2.8,3.1,1020,3180,3467,1249,1200,945,1030,1035,215,3470,1313
A1K,Torbay,Newfoundland and Labrador,NL,47.6666,-52.7313,795,10495,0,0,1.1,2.8,3,3340,10335,11295,3954,3910,3000,3430,3425,970,11225,4072
A1L,Paradise,Newfoundland and Labrador,NL,47.5291,-52.8814,990,16620,0,0,1,2.7,2.9,5330,15920,17755,6518,5650,4835,5430,5430,1085,17605,6925
A1M,Portugal Cove-St. Philips,Newfoundland and Labrador,NL,47.6207,-52.8318,540,6810,0,5,1,2.7,2.9,2230,6665,7359,2691,2340,2025,2295,2295,755,7335,2823
A1N,Mount Pearl,Newfoundland and Labrador,NL,47.5194,-52.8122,1495,22645,0,15,1,2.5,2.8,7270,20900,24298,9650,7305,6140,7445,7450,2810,24120,10224
A1S,Goulds,Newfoundland and Labrador,NL,47.4212,-52.8077,360,6155,0,5,1.1,2.8,3,1950,5920,6555,2305,2240,1670,2005,2000,575,6505,2332
A1V,Gander,Newfoundland and Labrador,NL,48.9682,-54.5906,720,10230,0,10,0.9,2.4,2.8,3350,9375,11065,4521,3045,2935,3395,3400,1445,10815,4755
A1W,Manuels,Newfoundland and Labrador,NL,47.5096,-52.9447,850,10150,0,5,1,2.7,2.9,3345,9970,11064,4049,3565,2970,3435,3435,1205,10970,4221
A1X,Conception Bay,Newfoundland and Labrador,NL,47.4999,-52.9981,660,12895,0,0,1,2.7,2.8,4135,12080,13749,5077,4240,3595,4240,4240,1430,13465,5293
A1Y,Carbonear,Newfoundland and Labrador,NL,47.7113,-53.2953,115,5030,0,0,0.9,2.4,2.7,1580,4450,5270,2101,1455,1370,1625,1625,900,5085,2305
