"daysinOperation","P1","P3","P4","P11","P18","P21","P22","P29"
1106.0,1,4.0,4.0,5,0,3,1,3.0
1051.0,3,4.0,4.0,2,0,3,2,3.0
94.0,3,4.0,4.0,4,0,5,5,3.0
271.0,2,4.0,4.0,3,4,3,2,3.0
185.0,2,4.0,4.0,3,0,3,1,3.0
2256.0,4,5.0,4.0,2,0,3,2,3.0
1914.0,4,4.0,4.0,3,0,2,2,3.0
60.0,2,4.0,5.0,2,0,2,1,1.0
2804.0,5,4.0,4.0,2,4,1,5,1.0
743.0,15,6.0,3.0,1,9,1,1,2.5
2038.0,12,6.0,6.0,1,4,2,2,5.0
1933.0,2,4.0,4.0,5,1,1,1,3.0
668.0,6,4.0,5.0,5,0,6,5,0.0
641.0,4,4.0,4.0,5,0,3,3,0.0
3452.0,4,4.0,4.0,2,3,2,1,3.0
5808.0,2,4.0,5.0,2,4,1,2,1.0
1694.0,3,5.0,6.0,10,0,15,3,2.5
178.0,6,5.0,3.0,2,0,2,2,3.0
4950.0,1,6.0,6.0,2,0,15,1,2.0
177.0,9,4.0,4.0,4,3,3,2,3.0
265.0,3,5.0,4.0,3,0,1,1,3.0
6357.0,4,4.0,4.0,1,0,1,4,2.0
1325.0,1,5.0,4.0,3,3,2,1,3.0
3450.0,3,4.0,4.0,5,0,2,4,3.0
3092.0,9,4.0,5.0,10,12,3,5,3.0
2111.0,2,4.0,4.0,5,0,1,1,2.0
1751.0,2,4.0,4.0,3,0,1,1,3.0
799.0,3,3.0,4.0,1,0,2,1,3.0
94.0,3,4.0,4.0,3,0,3,3,3.0
743.0,4,4.0,4.0,10,0,1,1,2.5
461.0,6,2.0,5.0,3,12,1,2,7.5
276.0,12,4.0,3.0,6,0,2,4,2.0
407.0,4,5.0,5.0,3,0,1,4,3.0
6120.0,3,4.0,3.0,5,0,2,1,3.0
134.0,3,3.0,4.0,2,0,1,3,3.0
5106.0,12,6.0,4.0,2,0,15,2,2.5
587.0,4,4.0,3.0,4,0,2,2,3.0
743.0,12,6.0,6.0,1,9,1,1,3.0
2698.0,2,3.0,4.0,2,0,1,1,3.0
442.0,6,6.0,7.5,4,0,1,1,3.0
1596.0,3,4.0,3.0,4,4,2,2,3.0
1660.0,4,3.0,4.0,5,4,1,2,2.0
1601.0,12,6.0,6.0,1,15,3,1,7.5
5524.0,5,4.0,4.0,1,5,3,2,3.0
2445.0,4,4.0,5.0,5,4,3,1,3.0
771.0,2,4.0,4.0,4,0,1,3,3.0
185.0,2,4.0,5.0,2,0,6,1,7.5
311.0,2,4.0,4.0,2,0,1,1,7.5
2685.0,4,4.0,4.0,4,3,4,5,1.0
587.0,4,4.0,3.0,4,3,4,3,3.0
1508.0,3,4.0,4.0,5,5,5,4,2.0
239.0,4,4.0,4.0,5,4,4,4,1.0
4326.0,2,5.0,4.0,2,0,1,4,3.0
206.0,2,4.0,5.0,2,0,1,2,3.0
819.0,3,5.0,4.0,2,0,1,2,3.0
3452.0,4,5.0,3.0,2,0,4,1,2.0
1737.0,9,4.0,5.0,2,0,3,2,7.5
112.0,12,6.0,3.0,4,0,2,1,3.0
2659.0,9,6.0,4.0,2,0,3,2,7.5
1684.0,4,4.0,3.0,4,0,3,2,3.0
547.0,1,2.0,5.0,4,0,1,1,3.0
840.0,2,4.0,5.0,3,0,1,3,3.0
644.0,15,4.5,6.0,6,3,1,3,7.5
2649.0,2,6.0,3.0,4,0,3,2,3.0
2038.0,6,4.0,7.5,4,4,3,1,3.0
5623.0,5,4.0,4.0,4,0,5,3,1.0
766.0,5,4.0,4.0,3,0,2,2,2.0
5755.0,4,4.0,5.0,5,4,5,5,2.0
6357.0,4,4.0,6.0,6,0,3,2,5.0
4932.0,4,4.0,4.0,3,0,2,3,3.0
2464.0,2,2.0,4.0,3,3,1,2,3.0
345.0,3,4.0,4.0,1,0,1,2,3.0
